Date,CampaignID,CampaignName,Platform,TargetAudience,Impressions,Clicks,Leads,Applications,Enrollments,Cost (?),Revenue (?),Region
2024-01-01,AD004,Hackathon,YouTube,17–21 Age,285708,16956,4087,2547,1148,"? 2,75,458","? 46,15,838",West India
2024-01-02,AD004,Hackathon,YouTube,17–21 Age,140449,10082,1815,951,565,"? 1,33,026","? 35,13,170",North India
2024-01-03,AD004,Hackathon,YouTube,17–21 Age,140958,7474,1169,683,343,"? 1,35,766","? 10,51,925",North India
2024-01-04,AD004,Hackathon,YouTube,22–27 Age,257823,16841,3179,1584,698,"? 2,29,715","? 38,50,640",West India
2024-01-05,AD004,Hackathon,YouTube,25–35 Age,98595,7293,1340,854,368,"? 52,361","? 15,43,263",West India
2024-01-06,AD004,Hackathon,YouTube,22–27 Age,68114,5377,909,505,222,"? 27,454","? 17,17,164",North India
2024-01-07,AD004,Hackathon,YouTube,17–21 Age,175572,6855,1452,757,346,"? 95,498","? 25,98,808",East India
2024-01-08,AD004,Hackathon,YouTube,22–27 Age,231966,9373,1934,1247,553,"? 1,75,649","? 25,58,956",West India
2024-01-09,AD004,Hackathon,YouTube,17–21 Age,281339,12310,2329,1319,734,"? 1,26,724","? 42,65,725",West India
2024-01-10,AD004,Hackathon,YouTube,22–27 Age,98805,6952,1479,955,455,"? 49,446","? 30,12,430",North India
2024-01-11,AD004,Hackathon,YouTube,25–35 Age,144093,11451,1776,934,480,"? 1,04,177","? 17,23,114",North India
2024-01-12,AD004,Hackathon,YouTube,25–35 Age,158894,6588,1470,867,405,"? 1,02,314","? 30,80,880",Pan India
2024-01-13,AD004,Hackathon,YouTube,25–35 Age,66250,4921,871,392,210,"? 51,284","? 14,95,426",North India
2024-01-14,AD004,Hackathon,YouTube,25–35 Age,146445,6570,1466,803,436,"? 60,478","? 21,07,164",West India
2024-01-15,AD004,Hackathon,YouTube,22–27 Age,95097,7359,1754,1030,512,"? 47,008","? 21,74,798",South India
2024-01-16,AD004,Hackathon,YouTube,17–21 Age,234993,13461,2316,1322,778,"? 1,18,804","? 35,98,638",South India
2024-01-17,AD004,Hackathon,YouTube,25–35 Age,72601,4823,859,471,224,"? 65,232","? 15,40,858",West India
2024-01-18,AD004,Hackathon,YouTube,17–21 Age,64854,3268,774,379,187,"? 29,838","? 11,34,935",South India
2024-01-19,AD004,Hackathon,YouTube,25–35 Age,140767,7435,1316,748,419,"? 1,34,778","? 21,66,219",Pan India
2024-01-20,AD004,Hackathon,YouTube,22–27 Age,102564,4036,954,619,352,"? 51,435","? 27,39,138",West India
2024-01-21,AD004,Hackathon,YouTube,25–35 Age,99366,6149,1025,585,331,"? 39,929","? 20,41,494",East India
2024-01-22,AD004,Hackathon,YouTube,17–21 Age,130732,9877,1815,1127,550,"? 65,158","? 27,07,317",Pan India
2024-01-23,AD004,Hackathon,YouTube,22–27 Age,60282,3890,823,440,184,"? 50,618","? 13,32,251",East India
2024-01-24,AD004,Hackathon,YouTube,22–27 Age,227987,9955,2151,1233,739,"? 1,16,682","? 43,18,919",North India
2024-01-25,AD004,Hackathon,YouTube,22–27 Age,272168,16989,3561,1864,959,"? 1,66,206","? 44,49,883",West India
2024-01-26,AD004,Hackathon,YouTube,17–21 Age,264817,10684,1820,1080,558,"? 1,78,964","? 29,59,112",North India
2024-01-27,AD004,Hackathon,YouTube,22–27 Age,296970,16468,3817,2120,1220,"? 2,88,391","? 65,71,499",Pan India
2024-01-28,AD004,Hackathon,YouTube,25–35 Age,280154,13508,2070,1200,490,"? 2,58,351","? 26,06,825",West India
2024-01-29,AD004,Hackathon,YouTube,17–21 Age,246082,9319,1989,960,442,"? 1,95,337","? 21,70,311",East India
2024-01-30,AD004,Hackathon,YouTube,25–35 Age,162479,9378,2210,1154,604,"? 1,57,518","? 44,29,720",Pan India
2024-01-31,AD004,Hackathon,YouTube,22–27 Age,256182,17232,3397,1850,871,"? 2,12,839","? 35,79,678",South India
2024-02-01,AD004,Hackathon,YouTube,22–27 Age,269710,19961,3100,1479,780,"? 1,08,988","? 26,98,692",South India
2024-02-02,AD004,Hackathon,YouTube,17–21 Age,85354,4637,948,471,279,"? 39,467","? 10,69,478",Pan India
2024-02-03,AD004,Hackathon,YouTube,17–21 Age,96853,3046,699,327,162,"? 53,821","? 8,68,490",North India
2024-02-04,AD004,Hackathon,YouTube,17–21 Age,251547,15827,2989,1925,804,"? 1,23,903","? 58,51,415",West India
2024-02-05,AD004,Hackathon,YouTube,17–21 Age,189912,12514,2711,1616,890,"? 1,32,682","? 52,79,957",North India
